result_counts,accuracy,algorithm,execution_time,factor1,factor2
"{'01': 255, '11': 222, '10': 252, '00': 271}",0.222,Grover,0.16691303253173828,,
"{'00': 267, '10': 250, '01': 238, '11': 245}",0.245,Grover,0.0967869758605957,,
,1.0,Shor,0.4115931987762451,5.0,3.0
,1.0,Shor,0.1105194091796875,3.0,7.0
"{'110': 135, '010': 113, '001': 123, '101': 116, '100': 133, '011': 127, '000': 134, '111': 119}",0.113,QPE,0.11020064353942871,,
"{'000': 121, '010': 122, '001': 128, '011': 121, '100': 147, '111': 112, '101': 124, '110': 125}",0.122,QPE,0.11026954650878906,,
"{'01': 242, '11': 255, '10': 238, '00': 265}",0.255,Grover,0.11035013198852539,,
,1.0,Shor,0.36656975746154785,5.0,7.0
"{'110': 126, '011': 139, '111': 129, '001': 128, '101': 116, '010': 121, '100': 116, '000': 125}",0.121,QPE,0.11551046371459961,,
"{'11': 256, '00': 241, '10': 259, '01': 244}",0.256,Grover,0.10048270225524902,,
,1.0,Shor,0.24869775772094727,11.0,7.0
"{'100': 123, '111': 132, '010': 142, '110': 130, '000': 117, '001': 113, '011': 117, '101': 126}",0.142,QPE,0.1022639274597168,,
"{'00': 254, '11': 253, '10': 240, '01': 253}",0.253,Grover,0.11025094985961914,,
,1.0,Shor,0.4409751892089844,11.0,13.0
"{'011': 119, '010': 132, '101': 126, '100': 126, '001': 128, '110': 137, '000': 132, '111': 100}",0.132,QPE,0.1102299690246582,,
"{'01': 250, '11': 224, '00': 283, '10': 243}",0.224,Grover,0.10017991065979004,,
,1.0,Shor,1.0022196769714355,17.0,13.0
"{'101': 122, '000': 120, '111': 135, '110': 124, '011': 112, '010': 143, '100': 122, '001': 122}",0.143,QPE,0.11020088195800781,,
"{'01': 242, '00': 236, '10': 254, '11': 268}",0.268,Grover,0.10821199417114258,,
,1.0,Shor,0.37297844886779785,17.0,19.0
"{'111': 128, '011': 123, '010': 109, '110': 124, '101': 131, '001': 121, '100': 127, '000': 137}",0.109,QPE,0.11025452613830566,,
"{'11': 248, '01': 227, '00': 246, '10': 279}",0.248,Grover,0.10021162033081055,,
,1.0,Shor,0.5612950325012207,23.0,19.0
"{'010': 131, '110': 107, '101': 138, '111': 125, '000': 117, '001': 123, '011': 125, '100': 134}",0.131,QPE,0.13034415245056152,,
"{'00': 255, '11': 237, '01': 244, '10': 264}",0.237,Grover,0.11049079895019531,,
,1.0,Shor,0.49159955978393555,29.0,19.0
"{'110': 118, '101': 123, '010': 128, '001': 121, '111': 124, '100': 134, '011': 126, '000': 126}",0.128,QPE,0.11027741432189941,,
"{'11': 261, '10': 254, '01': 240, '00': 245}",0.261,Grover,0.12053084373474121,,
,1.0,Shor,0.7818729877471924,29.0,23.0
"{'110': 126, '010': 137, '011': 125, '100': 128, '001': 133, '000': 118, '111': 123, '101': 110}",0.137,QPE,0.16043519973754883,,
